,type,id,accountId,accountRef,date,description,category,amount,status,matchState,fiData,isReviewed,merchantId,etag,isExpense,isPending,discretionaryType,isLinkedToRule,transactionReviewState,lastUpdatedDate,principalCurrency,interestCurrency,escrowCurrency,parentId,checkNumber
0,CashAndCreditTransaction,75417769_3101034377_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-01-13,QT 885,"{'id': '75417769_1401', 'name': 'Gas & Fuel', 'categoryType': 'EXPENSE', 'parentId': '75417769_14', 'parentName': 'Auto & Transport'}",-5.81,POSTED,NOT_MATCHED,"{'id': '202301131651207230105#20230105', 'date': '2023-01-13', 'amount': -5.81, 'description': 'QT 885', 'inferredDescription': 'QT 885', 'inferredCategory': {'id': '75417769_1401', 'name': 'Gas & Fuel'}}",False,10041.0,1673715385000,True,False,NON_DISCRETIONARY,False,UNREVIEWED,2023-01-14T16:56:25Z,,,,,
1,CashAndCreditTransaction,75417769_3101034376_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-01-13,AMZN Mktp US*5P4MI32O3,"{'id': '75417769_2', 'name': 'Shopping', 'categoryType': 'EXPENSE', 'parentId': '75417769_0', 'parentName': 'Root'}",-10.79,POSTED,NOT_MATCHED,"{'id': '202301131651237230105#20230105', 'date': '2023-01-13', 'amount': -10.79, 'description': 'AMZN Mktp US*5P4MI32O3', 'inferredDescription': 'AMZN Mktp US*5P4MI32O3', 'inferredCategory': {'id': '75417769_2', 'name': 'Shopping'}}",False,7218.0,1673715385000,True,False,DISCRETIONARY,False,UNREVIEWED,2023-01-14T16:56:25Z,,,,,
2,CashAndCreditTransaction,75417769_3101034375_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-01-13,Target,"{'id': '75417769_701', 'name': 'Groceries', 'categoryType': 'EXPENSE', 'parentId': '75417769_7', 'parentName': 'Food & Dining'}",-83.35,MANUAL,NOT_MATCHED,"{'date': '2023-01-13', 'amount': -83.35, 'description': 'TARGET T-2042', 'inferredDescription': 'Target', 'inferredCategory': {'id': '75417769_701', 'name': 'Groceries'}}",,1072.0,1673715385000,True,True,NON_DISCRETIONARY,False,NOT_APPLICABLE,2023-01-14T16:56:25Z,,,,,
3,CashAndCreditTransaction,75417769_3101034374_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-01-13,Amazon.com*2K2HN95X3,"{'id': '75417769_2', 'name': 'Shopping', 'categoryType': 'EXPENSE', 'parentId': '75417769_0', 'parentName': 'Root'}",-26.41,POSTED,NOT_MATCHED,"{'id': '202301131651217230105#20230105', 'date': '2023-01-13', 'amount': -26.41, 'description': 'Amazon.com*2K2HN95X3', 'inferredDescription': 'Amazon.com*2K2HN95X3', 'inferredCategory': {'id': '75417769_2', 'name': 'Shopping'}}",False,7218.0,1673715385000,True,False,DISCRETIONARY,False,UNREVIEWED,2023-01-14T16:56:25Z,,,,,
4,CashAndCreditTransaction,75417769_3101034373_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-01-13,AMZN Mktp US*YG3UO97O3,"{'id': '75417769_2', 'name': 'Shopping', 'categoryType': 'EXPENSE', 'parentId': '75417769_0', 'parentName': 'Root'}",-14.06,POSTED,NOT_MATCHED,"{'id': '202301131651247230105#20230105', 'date': '2023-01-13', 'amount': -14.06, 'description': 'AMZN Mktp US*YG3UO97O3', 'inferredDescription': 'AMZN Mktp US*YG3UO97O3', 'inferredCategory': {'id': '75417769_2', 'name': 'Shopping'}}",False,7218.0,1673715385000,True,False,DISCRETIONARY,False,UNREVIEWED,2023-01-14T16:56:25Z,,,,,
5,CashAndCreditTransaction,75417769_3101034372_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-01-13,AMC ONLINE 9640,"{'id': '75417769_104', 'name': 'Movies & DVDs', 'categoryType': 'EXPENSE', 'parentId': '75417769_1', 'parentName': 'Entertainment'}",-30.91,MANUAL,NOT_MATCHED,"{'date': '2023-01-13', 'amount': -30.91, 'description': 'AMC ONLINE 9640', 'inferredDescription': 'AMC ONLINE 9640', 'inferredCategory': {'id': '75417769_104', 'name': 'Movies & DVDs'}}",,2057.0,1673715385000,True,True,DISCRETIONARY,False,NOT_APPLICABLE,2023-01-14T16:56:25Z,,,,,
6,CashAndCreditTransaction,75417769_3101034371_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-01-13,CANVA* I03664-32352586,"{'id': '75417769_802', 'name': 'Charity', 'categoryType': 'EXPENSE', 'parentId': '75417769_8', 'parentName': 'Gifts & Donations'}",-12.99,MANUAL,NOT_MATCHED,"{'date': '2023-01-13', 'amount': -12.99, 'description': 'CANVA* I03664-32352586', 'inferredDescription': 'CANVA* I03664-32352586', 'inferredCategory': {'id': '75417769_802', 'name': 'Charity'}}",,,1673715385000,True,True,DISCRETIONARY,False,NOT_APPLICABLE,2023-01-14T16:56:25Z,,,,,
7,CashAndCreditTransaction,75417769_3101034370_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-01-13,AMC 0252 PALACE 9,"{'id': '75417769_104', 'name': 'Movies & DVDs', 'categoryType': 'EXPENSE', 'parentId': '75417769_1', 'parentName': 'Entertainment'}",-17.49,MANUAL,NOT_MATCHED,"{'date': '2023-01-13', 'amount': -17.49, 'description': 'AMC 0252 PALACE 9', 'inferredDescription': 'AMC 0252 PALACE 9', 'inferredCategory': {'id': '75417769_104', 'name': 'Movies & DVDs'}}",,2057.0,1673715385000,True,True,DISCRETIONARY,False,NOT_APPLICABLE,2023-01-14T16:56:25Z,,,,,
8,CashAndCreditTransaction,75417769_3101034369_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-01-13,H&M0510,"{'id': '75417769_201', 'name': 'Clothing', 'categoryType': 'EXPENSE', 'parentId': '75417769_2', 'parentName': 'Shopping'}",-28.12,POSTED,NOT_MATCHED,"{'id': '202301131651227230105#20230105', 'date': '2023-01-13', 'amount': -28.12, 'description': 'H&M0510', 'inferredDescription': 'H&M0510', 'inferredCategory': {'id': '75417769_201', 'name': 'Clothing'}}",False,10048.0,1673715385000,True,False,DISCRETIONARY,False,UNREVIEWED,2023-01-14T16:56:25Z,,,,,
9,CashAndCreditTransaction,75417769_3101034368_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-01-13,AMZN Mktp US,"{'id': '75417769_2', 'name': 'Shopping', 'categoryType': 'EXPENSE', 'parentId': '75417769_0', 'parentName': 'Root'}",-11.41,MANUAL,NOT_MATCHED,"{'date': '2023-01-13', 'amount': -11.41, 'description': 'AMZN Mktp US', 'inferredDescription': 'AMZN Mktp US', 'inferredCategory': {'id': '75417769_2', 'name': 'Shopping'}}",,7218.0,1673715385000,True,True,DISCRETIONARY,False,NOT_APPLICABLE,2023-01-14T16:56:25Z,,,,,
